,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
聡,1926,14,[],[],"['耳', '心', 'ハ', '厶']",,,,,,,
聯,1927,17,[],[],"['耳', '幺']",,,,,,,
聱,1928,17,[],[],"['土', '士', '攵', '方', '耳']",,,,,,,
聴,1929,17,[],[],"['耳', '十', '心', '罒']",['聴'],[7],['会意 Com. Ideographic'],[1],[47901],[47295],['S']
職,1930,18,"[' job/work/employment/occupation/position duties trade/skill,', ' agency (government department between a ministry and a bureau under the ritsuryo system)]']","['しょく', 'しき']","['音', '耳', '日', '立', '戈']",['職'],[5],['形声 Phonetic'],[3],[176796],[176595],['P']
肉,1931,6,[' flesh meat the physical body (as opposed to the spirit) thickness ink pad]'],['にく'],"['肉', '冂', '人']",['肉'],[2],['象形 Pictographic'],[4],[40897],[40877],['S']
肌,1932,6,[' skin body (in the context of intimate bodily contact) surface/grain (e.g. of wood)/texture disposition/temperament/character/type]'],['はだ'],"['月', '几']",['肌'],[7],['形声 Phonetic'],[2],[6826],[6826],['P']
肓,1933,7,[],[],"['亡', '月', '亠']",,,,,,,
肝,1934,7,[' liver/innards courage/spirit/pluck/guts crux/essential point/key]'],['きも'],"['干', '月']",['肝'],[7],['形声 Phonetic'],[1],[13435],[13380],['R']
股,1935,8,"[' crotch/crutch/groin/thigh fork (in a tree, road, river, etc.)/tines (of a fork),', ' thigh femoral]']","['また', 'もも']","['月', '殳', '几', '又']",['股'],[7],['形声 Phonetic'],[0],[932],[713],['S']
肢,1936,8,"[' foot/paw/arm (of an octopus, squid, etc.) leg gait pace bottom structural component (i.e. radical) of a kanji means of transportation money/coin]']",['あし'],"['月', '支', '十', '又']",['肢'],[7],['形声 Phonetic'],[1],[6503],[6503],['S']
肥,1937,8,[' manure/night soil/dung/fertiliser/fertilizer]'],['こえ'],"['月', '巴']",['肥'],[5],['会意 Com. Ideographic'],[1],[9128],[6762],['S']
肩,1938,8,[' shoulder]'],['かた'],"['月', '戸', '一', '尸']",['肩'],[7],['象形 Pictographic'],[2],[16973],[16972],['S']
肱,1939,8,"[' elbow,', ' arm (esp. upper arm) counter used to measure the thickness of round objects]']","['ひじ', 'かいな']","['ノ', '一', '月', '厶']",,,,,,,
育,1940,8,[],[],"['月', '亠', '厶']",['育'],[3],['会意 Com. Ideographic'],[3],[152386],[145588],['P']
肴,1941,8,[' appetizer or snack served with drinks performance to liven up a bar/conversation to liven up a party]'],['さかな'],"['ノ', '一', '月', '丶']",,,,,,,
肺,1942,9,[' lung]'],['はい'],"['巾', '月', '亠']",['肺'],[6],['形声 Phonetic'],[1],[12905],[12905],['S']
胃,1943,9,"[' stomach Chinese ""stomach"" constellation (one of the 28 mansions)]']",['い'],"['月', '田']",['胃'],[4],['会意 Com. Ideographic'],[2],[4658],[4658],['R']
胆,1944,9,[' liver/innards courage/spirit/pluck/guts crux/essential point/key]'],['きも'],"['一', '月', '日']",['胆'],[7],['形声 Phonetic'],[1],[6103],[5954],['P']
背,1945,9,"[' height/stature,', ' back/spine reverse/rear side height/stature ridge (of a mountain)]']","['せい', 'せ']","['月', '匕', '爿']",['背'],[6],['形声 Phonetic'],[3],[56732],[56627],['R']
胎,1946,9,[' womb]'],['たい'],"['月', '口', '厶']",['胎'],[7],['形声 Phonetic'],[1],[2890],[2885],['S']
胞,1947,9,[],[],"['月', '勹', '已']",['胞'],[7],['形声 Phonetic'],[1],[17428],[17427],['S']
胡,1948,9,[' barbarian tribes surrounding ancient China]'],['こ'],"['月', '口', '十']",,,,,,,
胴,1949,10,"[' trunk/torso/body/abdomen/waist plastron (in kendo)/touching the plastron (kimari-te in kendo) frame (of a drum, etc.)/sound box (of a shamisen, etc.)/hull (of a ship) dealer]']",['どう'],"['月', '口', '冂', '一']",['胴'],[7],['形声 Phonetic'],[1],[2080],[2080],['R']
胸,1950,10,[' chest/breast breasts/bosom/bust heart lungs stomach heart/mind/feelings]'],['むね'],"['月', '凵', '勹', 'ノ', '丶']",['胸'],[6],['形声 Phonetic'],[2],[19267],[19264],['R']
能,1951,10,[' talent/gift/function noh (theatre)]'],['のう'],"['月', '匕', '厶']",['能'],[5],['象形 Pictographic'],[3],[212465],[205862],['P']
脂,1952,10,"[' fat/tallow/lard/grease,', "" resin (tobacco) resin/tar/nicotine sleep (in one's eyes, i.e. eye mucus)]""]","['あぶら', 'やに']","['月', '日', '匕']",['脂'],[7],['形声 Phonetic'],[2],[8175],[8054],['S']
脆,1953,10,[],[],"['月', '厂', '勹']",,,,,,,
脇,1954,10,"["" armpit/under one's arm/side/flank beside/close to/near/by aside/to the side/away/out of the way off-track/off-topic deuteragonist/supporting role second verse (in a linked series of poems),"", ' side/edge/beside/besides/nearby while (doing)/in addition to/at the same time]']","['わき', 'かたわら', 'ら']","['月', '力']",['脇'],[7],['形声 Phonetic'],[0],[15177],[8176],['S']
脈,1955,10,"[' pulse vein chain (of mountains, etc.) hope thread (of an argument)]']",['みゃく'],"['斤', '月', '厂']",['脈'],[4],['会意 Com. Ideographic'],[1],[9303],[8972],['P']
脚,1956,11,"[' foot/paw/arm (of an octopus, squid, etc.) leg gait pace bottom structural component (i.e. radical) of a kanji means of transportation money/coin,', ' counter for chairs or seats]']","['あし', 'きゃく']","['月', '土', '卩', '厶']",['脚'],[7],['形声 Phonetic'],[1],[17524],[17512],['S']
脣,1957,11,[' lips]'],['くちびる'],"['月', '辰']",,,,,,,
脯,1958,11,[' dried meat/jerky]'],['ほしし'],"['｜', '十', '月', '用', '丶']",,,,,,,
脱,1959,11,"[' de- (indicating reversal, removal, etc.)/post-]']",['だつ'],"['月', '口', '并', '儿']",['脱'],[7],['形声 Phonetic'],[1],[41449],[41449],['R']
脳,1960,11,"[' brain brains/mind,', ' brain/skull/head]']","['のう', 'なずき']","['月', '⺌', '凵']",['脳'],[6],['会意 Com. Ideographic'],[2],[69715],[69628],['S']
腐,1961,14,[],[],"['⺅', '寸', '肉', '广']",['腐'],[7],['形声 Phonetic'],[1],[7603],[7599],['R']
腑,1962,12,[' internal organ/viscera/gut]'],['ふ'],"['⺅', '月', '寸', '广']",,,,,,,
腔,1963,12,[' cavity]'],['こう'],"['穴', '月', '工', '儿', '宀']",,,,,,,
腕,1964,12,"[' arm skill/efforts/ability,', ' arm (esp. upper arm) counter used to measure the thickness of round objects]']","['うで', 'かいな']","['月', '夕', '卩', '宀']",['腕'],[7],['形声 Phonetic'],[2],[23727],[23726],['S']
腰,1965,13,"[' lower back/waist/hips/lumbar region body (of hair, noodle, paper, etc.)/resilience/spring,', ' posture/position/pose/attitude,', ' counter for swords, hakama, obi, etc. worn around the waist counter for quivers of arrows]']","['こし', 'ごし', 'こし']","['月', '女', '西']",['腰'],[7],['形声 Phonetic'],[2],[13089],[12713],['S']
腸,1966,13,[' guts/bowels/intestines]'],['ちょう'],"['一', '月', '日', '勿']",['腸'],[4],['形声 Phonetic'],[1],[5404],[5404],['P']
腹,1967,13,"["" abdomen/belly/stomach womb one's mind/one's real intentions/one's true motive courage/nerve/willpower generosity/magnanimity feelings/emotions wide middle part/bulging part inside/interior/inner part anti-node 10. counter for hard roe 11. counter for containers with bulging middles (pots, vases, etc.)]""]",['はら'],"['月', '日', '夂']",['腹'],[6],['形声 Phonetic'],[3],[14645],[14644],['S']
膏,1968,14,[' fat/tallow/lard/grease]'],['あぶら'],"['月', '口', '亠', '冖', '高']",,,,,,,
膚,1969,15,[' skin body (in the context of intimate bodily contact) surface/grain (e.g. of wood)/texture disposition/temperament/character/type]'],['はだ'],"['月', '田', '卜', '匕', '厂', '虍']",['膚'],[7],['形声 Phonetic'],[2],[3847],[3847],['.']
膜,1970,14,[' membrane/film]'],['まく'],"['月', '大', '日', '⺾']",['膜'],[7],['形声 Phonetic'],[1],[4833],[4833],['P']
膝,1971,15,[' knee lap/knee and thigh (while sitting)]'],['ひざ'],"['月', '水', '木', '𠆢']",['膝'],[7],['形声 Phonetic'],[0],[430],[421],['S']
膠,1972,15,"[' glue (usu. from animal and fish bone, skin, etc.)]']",['にかわ'],"['羽', '月', '𠆢', '冫', '彡']",,,,,,,
膺,1973,17,[],[],"['⺅', '月', '广', '隹']",,,,,,,
膾,1974,17,[' namasu/dish of raw fish and vegetables seasoned in vinegar]'],['なます'],"['月', '日', '罒', '𠆢']",,,,,,,
臂,1975,17,[' elbow]'],['ひじ'],"['月', '口', '十', '辛', '立', '尸']",,,,,,,
臍,1976,18,[' navel/belly button protrusion or depression in the middle of an object center/centre/most important part/main point]'],['へそ'],"['月', '齊', '刀', '氏', '廾']",,,,,,,
臓,1977,19,[' viscera/bowels]'],['ぞう'],"['ノ', '月', '臣', '戈', '⺾']",['臓'],[6],['形声 Phonetic'],[2],[20504],[20494],['S']
臣,1978,7,"[' retainer/attendant Omi (hereditary title; orig. one of the two highest such titles, later demoted to sixth highest of eight) I/me,', ' slave retainer/servant captive varlet I/me]']","['おみ', 'やつこ']","['臣', '匚']",['臣'],[4],['象形 Pictographic'],[2],[17240],[14912],['P']
臥,1979,9,[],[],"['臣', '人']",,,,,,,
臨,1980,18,[],[],"['ノ', '口', '臣', '品']",['臨'],[6],['会意 Com. Ideographic'],[1],[37189],[36946],['R']
自,1981,6,[' self- from ... this ... (in contrast to some other ...)/aforementioned]'],['じ'],['自'],['自'],[2],['象形 Pictographic'],[4],[810019],[621663],['R']
臭,1982,9,[' -smell/stinking of smacking of/hinting of]'],['しゅう'],"['自', '大']",['臭'],[7],['会意 Com. Ideographic'],[1],[4787],[4787],['P']
至,1983,6,[' to ...]'],['し'],"['一', '至', '土', '厶']",['至'],[6],['会意 Com. Ideographic'],[1],[21492],[20648],['R']
致,1984,10,[],[],"['至', '土', '厶', '攵']",['致'],[7],['会意 Com. Ideographic'],[1],[69700],[69697],['P']
臼,1985,6,[' millstone/mortar]'],['うす'],['臼'],['臼'],[7],['象形 Pictographic'],[0],[2657],[576],['S']
興,1986,16,"[' interest/entertainment/pleasure implicit comparison (style of the Shi Jing),', ' millet or rice cake, roasted and hardened with starch syrup and sugar (sometimes including peanuts, etc.)]']","['きょう', 'おこし', 'し']","['臼', '口', 'ハ', '冂', '一']",['興'],[5],['会意 Com. Ideographic'],[1],[66165],[58071],['S']
舌,1987,6,[' tongue tongue-like object/clapper (of a bell)/talon (of a lock)]'],['した'],"['口', '舌']",['舌'],[5],['象形 Pictographic'],[1],[3874],[3834],['S']
舎,1988,8,"["" hut/house boarding house/school dormitory one day's march (approx. 12.2 km)]""]",['しゃ'],"['口', '土', '𠆢']",['舎'],[5],['会意 Com. Ideographic'],[1],[16572],[15025],['P']
舐,1989,10,"["" lick bottom card of the draw pile tasting (a nobleman's) medicine to see if it contains poison/medicine taster]""]","['なめ', 'め']","['口', '氏', '舌']",,,,,,,
舜,1990,13,[],[],"['牛', '舛', '爪', '夕', '冖']",,,,,,,
舞,1991,15,[' dancing/dance]'],['まい'],"['｜', 'ノ', '一', '舛', '二', '夕', '無']",['舞'],[7],['会意 Com. Ideographic'],[3],[60222],[53872],['S']
舟,1992,6,[' ship/boat/watercraft/vessel/seaplane tank/tub/vat/trough counter for boat-shaped containers (e.g. of sashimi)]'],['ふね'],['舟'],['舟'],[7],['象形 Pictographic'],[2],[5711],[3157],['S']
般,1993,10,[],[],"['舟', '殳', '几', '又']",['般'],[7],['会意 Com. Ideographic'],[2],[43597],[43438],['P']
舳,1994,11,"[' bow (of a ship)/prow,', ' bow (of a ship)/prow]']","['へさき', 'じく']","['｜', '舟', '日', '田']",,,,,,,
舵,1995,11,[' rudder/helm]'],['かじ'],"['舟', '匕', '宀']",,,,,,,
船,1996,11,[' ship/boat/watercraft/vessel/seaplane tank/tub/vat/trough counter for boat-shaped containers (e.g. of sashimi)]'],['ふね'],"['口', '舟', 'ハ']",['船'],[2],['形声 Phonetic'],[3],[60249],[50627],['S']
艫,1997,22,"[' stern,', ' stern (of a ship) bow (of a ship)/prow]']","['とも', 'ろ']","['皿', '舟', '田', '卜', '匕', '厂', '虍']",,,,,,,
良,1998,7,"[' good (quality, condition, etc.) Good (grade)/B]']",['りょう'],['艮'],['良'],[4],['象形 Pictographic'],[3],[117671],[69894],['S']
艱,1999,17,[],[],"['艮', '人', '大', '二', '⺾']",,,,,,,
色,2000,6,"["" colour/color/hue/tint/tinge/shade complexion/skin colour/skin color look (on one's face)/expression appearance/air/feeling personality/character tone (of one's voice, etc.)/tune/sound/ring love/lust/sensuality/love affair lover/paramour beauty/sexiness/physical appeal 10. kind/type/variety,"", ' counter for colours,', ' rupa (form) visible objects (i.e. color and form)]']","['いろ', 'しょく', 'しき']","['色', '巴', '勹']",['色'],[2],['会意 Com. Ideographic'],[4],[62087],[60753],['P']
艶,2001,19,"[' gloss/luster/lustre/shine/sheen/polish mellowness (of a voice)/youthfulness (e.g. of skin) interest/appeal/charm/color/colour/feeling romance/love/sexiness,', ' charming/fascinating/voluptuous]']","['つや', 'えん']","['｜', '口', '色', '豆', '日', '并', '勹']",['艶'],[7],['会意 Com. Ideographic'],[1],[698],[633],['S']
芒,2002,6,"[' Japanese pampas grass (Miscanthus sinensis)/maiden silvergrass/zebra grass,', ' arista/awn/(grain) beard]']","['すすき', 'のぎ']","['亡', '⺾', '亠']",,,,,,,
芙,2003,7,[],[],"['人', '二', '⺾', '大']",,,,,,,
芝,2004,6,[' lawn/sod/turf]'],['しば'],"['亠', '⺾']",['芝'],[7],['形声 Phonetic'],[1],[24138],[10505],['.']
芥,2005,7,"[' rubbish/trash/garbage/refuse,', ' trash/rubbish/garbage]']","['ごみ', 'ごもく']","['𠆢', '⺾', '儿']",,,,,,,
芬,2006,7,[' Finland fragrant/aromatic]'],['ふん'],"['刀', 'ハ', '⺾']",,,,,,,
花,2007,7,[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely]'],['はな'],"['⺅', '匕', '⺾']",['花'],[1],['形声 Phonetic'],[4],[69449],[48962],['R']
芳,2008,7,[],[],"['方', '⺾']",['芳'],[7],['形声 Phonetic'],[1],[11662],[885],['R']
芷,2009,7,[],[],"['⺾', '止']",,,,,,,
芸,2010,7,[' art/craft/accomplishment/artistic skill/technique/performance]'],['げい'],"['二', '厶', '⺾']",['芸'],[4],['会意 Com. Ideographic'],[2],[51423],[43928],['S']
芹,2011,7,[' Java water dropwort (Oenanthe javanica)/Japanese parsley]'],['せり'],"['斤', '⺾']",,,,,,,
苗,2012,8,"[' seedling/young plant rice seedling, ミャオ', ' Miao (people)/Hmong]']",['なえ'],"['田', '⺾']",['苗'],[7],['会意 Com. Ideographic'],[1],[4836],[2420],['S']
苛,2013,8,[],[],"['一', '口', '亅', '⺾']",['苛'],[7],['形声 Phonetic'],[0],[260],[260],['.']
若,2014,8,"[' youth child (esp. of the young son of someone of high social standing) young/new,', ' like/similar to/same as]']","['わか', 'ごと']","['ノ', '一', '口', '⺾']",['若'],[6],['象形 Pictographic'],[3],[92809],[79629],['R']
苦,2015,8,[' pain/anguish/suffering/distress/anxiety/worry/trouble/difficulty/hardship duhkha (suffering)]'],['く'],"['口', '十', '⺾']",['苦'],[3],['形声 Phonetic'],[3],[64615],[64607],['R']
英,2016,8,"[' calyx/corolla,', ' Britain/British]']","['はなぶさ', 'えい']","['ノ', '⺾', '大']",['英'],[4],['形声 Phonetic'],[4],[129557],[25070],['R']
茅,2017,8,"[' grass used for thatching/sedge used for thatching,', ' cogon grass (Imperata cylindrica)]']","['かや', 'ちがや']","['矛', '⺾']",,,,,,,
茫,2018,9,[' extensive/spacious vague/hazy]'],['ぼう'],"['亡', '氵', '⺾']",,,,,,,
茵,2019,9,[' cushion/pillow/mattress]'],['しとね'],"['大', '囗', '⺾']",,,,,,,
茶,2020,9,[' tea tea plant (Camellia sinensis) tea preparation/making tea brown mockery]'],['ちゃ'],"['𠆢', '⺾', '木']",['茶'],[2],['形声 Phonetic'],[4],[21104],[18222],['R']
草,2021,9,"[' grass/weed/herb/thatch ninja not genuine/substandard LOL/haha,', ' draft/rough copy highly cursive style (of writing Chinese characters)/grass style]']","['くさ', 'そう']","['十', '日', '⺾']",['草'],[1],['形声 Phonetic'],[3],[34002],[20753],['S']
荊,2022,9,[' thorny shrub wild rose/briar thorn cusp]'],['いばら'],"['刂', '廾', '⺾', 'ノ']",,,,,,,
荒,2023,9,[' remaining bony parts (of a fish after filleting) flaw (esp. of a person)/fault/defect rice chaff rough crude/raw/natural/wild]'],['あら'],"['川', '⺾', '亡']",['荒'],[7],['形声 Phonetic'],[2],[27378],[11773],['R']
荘,2024,9,"[' manor/villa, チャン', ' counter for games of mahjong]']",['しょう'],"['士', '爿', '⺾']",['荘'],[7],['形声 Phonetic'],[1],[6533],[5012],['S']
莫,2025,10,[' must not/may not]'],['まな'],"['大', '日', '⺾']",,,,,,,
莱,2026,10,[],[],"['｜', '二', '米', '亠', '⺾', '木']",,,,,,,
莽,2027,9,[],[],"['大', '廾', '⺾']",,,,,,,
菊,2028,11,[' chrysanthemum (Chrysanthemum morifolium)]'],['きく'],"['米', '勹', '⺾']",['菊'],[7],['会意 Com. Ideographic'],[1],[13537],[2811],['S']
菓,2029,11,[' fruit counter for fruit]'],['か'],"['田', '木', '⺾']",['菓'],[7],['形声 Phonetic'],[2],[6696],[6161],['S']
菖,2030,11,[],[],"['日', '⺾']",,,,,,,
菜,2031,11,"[' greens/vegetables rape (Brassica napus)/rapeseed,', ' side dish]']","['な', 'さい']","['爪', '木', '⺾']",['菜'],[4],['形声 Phonetic'],[2],[19424],[17168],['P']
菩,2032,11,[],[],"['口', '立', '⺾']",,,,,,,
華,2033,10,"[' flower/blossom/bloom/petal cherry blossom beauty blooming (esp. of cherry blossoms) ikebana hanafuda (the) best glorious/lovely,', ' flashiness/showiness/brilliance/splendor bloom/flowers]']","['はな', 'か']","['｜', '一', '⺾']",['華'],[7],['象形 Pictographic'],[1],[23238],[16688],['S']
菽,2034,11,"[' legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.)/beans/peas soya bean (Glycine max)/soybean/soy female genitalia (esp. the clitoris) kidney miniature/tiny child]']",['まめ'],"['小', '卜', '又', '⺾']",,,,,,,
萍,2035,11,[' floating weed greater duckweed (Spirodela polyrhiza) precarious/unstable]'],"['うきくさ', 'き']","['干', '氵', '并', '⺾']",,,,,,,
萎,2036,11,[' interpenetration of spirit between the poet and nature in a haiku]'],['しおり'],"['禾', '女', '⺾']",['萎'],[7],['形声 Phonetic'],[0],[889],[889],['.']
落,2037,12,[' slip/omission outcome/final result/the end punch line (of a joke)]'],"['おち', 'ち']","['口', '氵', '夂', '⺾']",['落'],[3],['形声 Phonetic'],[3],[135487],[131556],['S']
葉,2038,12,"[' leaf/blade (of grass)/(pine) needle,', ' counter for leaves, pieces of paper, etc. counter for boats]']","['は', 'よう']","['木', '世', '⺾']",['葉'],[3],['形声 Phonetic'],[3],[142216],[75304],['P']
著,2039,11,[' work/book (a book) by obvious/striking]'],['ちょ'],"['日', '⺹', '⺾']",['著'],[6],['形声 Phonetic'],[2],[184898],[184771],['S']
葛,2040,11,"[' kudzu (Pueraria montana)/Japanese arrowroot Chinese moonseed (Sinomenium acutum),', ' creeping plant/creeper/vine/liana/liane]']","['くず', 'かずら']","['日', '勹', '匕', '⺾']",['葛'],[7],['形声 Phonetic'],[0],[7997],[1644],['.']
董,2041,12,[],[],"['｜', '一', '日', '⺾', '里']",,,,,,,
葦,2042,13,[' common reed (Phragmites australis)]'],['あし'],"['口', '⺾', '韋']",,,,,,,
葬,2043,12,[' funeral]'],['そう'],"['一', '夕', '匕', '廾', '⺾']",['葬'],[7],['会意 Com. Ideographic'],[1],[23145],[23144],['S']
葷,2044,12,[],[],"['車', '冖', '⺾']",,,,,,,
蒙,2045,13,[' ignorance covering/concealing Mongolia]'],['もう'],"['冖', '⺾', '豕']",,,,,,,
蒟,2046,13,[],[],"['口', '立', '勹', '⺾']",,,,,,,
蒲,2047,13,[' common cattail (Typha latifolia)/common bulrush/common reedmace]'],['がま'],"['氵', '用', '丶', '⺾', '十']",,,,,,,
蒸,2048,13,[],[],"['ノ', '一', '亅', '灬', '⺾']",['蒸'],[6],['形声 Phonetic'],[2],[4537],[4537],['R']
蒻,2049,13,[],[],"['弓', '冫', '⺾']",,,,,,,
蒼,2050,13,[' blue/azure green green light (traffic) black (horse coat color) blue 5-point card immature/unripe/young]'],['あお'],"['ノ', '口', '𠆢', '⺾']",,,,,,,
蒿,2051,13,[' Japanese mugwort (Artemisia princeps) mugwort (any plant of genus Artemisia)/wormwood/sagebrush]'],['よもぎ'],"['口', '高', '亠', '冂', '⺾']",,,,,,,
蓄,2052,13,[],[],"['玄', '田', '亠', '幺', '⺾']",['蓄'],[7],['形声 Phonetic'],[1],[9211],[9211],['S']
蓉,2053,13,[],[],"['穴', '口', '谷', 'ハ', '𠆢', '宀', '⺾']",,,,,,,
蓋,2054,13,[' cover/lid/cap]'],['ふた'],"['皿', '土', '厶', '⺾']",['蓋'],[7],['形声 Phonetic'],[0],[637],[636],['P']
蓬,2055,13,[' Japanese mugwort (Artemisia princeps) mugwort (any plant of genus Artemisia)/wormwood/sagebrush]'],['よもぎ'],"['｜', '一', '辶', '夂', '⺾']",,,,,,,
蓮,2056,13,[' sacred lotus (Nelumbo nucifera)/Indian lotus/lotus rose of Sharon (Hibiscus syriacus)]'],['はす'],"['辶', '車', '⺾']",,,,,,,
蓴,2057,14,[' water shield (Brasenia schreberi)]'],['ぬなわ'],"['一', '寸', '虫', '日', '⺾']",,,,,,,
蓼,2058,14,[' knotweed (Polygonaceae)/jointweed/smartweed water pepper (Persicaria hydropiper)]'],['たで'],"['羽', '𠆢', '冫', '彡', '⺾']",,,,,,,
蔌,2059,14,[],[],"['人', '勹', '口', '⺾', '木', '欠']",,,,,,,
蔓,2060,14,"[' vine/bine/tendril/runner bow/temple arm/sidepiece/lug arm/earpiece/part of a pair of glasses that goes over the ear connections/contacts/influence/financial supporter,', ' creeping plant/creeper/vine/liana/liane]']","['つる', 'かずら']","['日', '罒', '又', '⺾']",,,,,,,
蔕,2061,14,[' calyx]'],['へた'],"['一', '巾', '儿', '冖', '凵', '⺾']",,,,,,,
蔬,2062,15,[],[],"['止', '川', '亠', '厶', '⺾', '疋']",,,,,,,
蔵,2063,15,"[' warehouse/storehouse/cellar/magazine/granary/godown/depository/treasury/elevator,', ' possession/ownership Tibet/Tibetan people]']","['くら', 'ぞう']","['ノ', '臣', '戈', '⺾']",['蔵'],[6],['形声 Phonetic'],[2],[43152],[19730],['P']
蔽,2064,15,[],[],"['｜', '巾', '⺌', '并', '冂', '攵', '⺾']",['蔽'],[7],['形声 Phonetic'],[0],[192],[192],['.']
蕩,2065,15,[],[],"['｜', '一', '氵', '日', '⺾', '勿']",,,,,,,
蕭,2066,16,[' Japanese mugwort (Artemisia princeps) mugwort (any plant of genus Artemisia)/wormwood/sagebrush]'],['よもぎ'],"['｜', 'ノ', 'ヨ', '米', '⺾', '聿']",,,,,,,
薄,2067,16,"[' Japanese pampas grass (Miscanthus sinensis)/maiden silvergrass/zebra grass,', ' light (e.g. colour, color)]']","['すすき', 'うす']","['十', '氵', '寸', '田', '丶', '⺾']",['薄'],[7],['形声 Phonetic'],[2],[21675],[20855],['R']
薑,2068,16,"[' ginger (Zingiber officinale),', ' ginger (Zingiber officinale) Japanese pepper (Zanthoxylum piperitum)]']","['しょうが', 'はじかみ']","['一', '田', '二', '⺾']",,,,,,,
薤,2069,16,[' Japanese leek (Allium chinense)/Chinese onion sour-sweet pickle of Japanese leek]'],['らっきょう'],"['歹', '⺾', '韭']",,,,,,,
薪,2070,16,"[' piece(s) of firewood (esp. chopped or split from logs) kindling (twigs, branches, etc.)/firewood]']",['まき'],"['斤', '十', '辛', '并', '木', '立', '⺾', '亠']",['薪'],[7],['形声 Phonetic'],[1],[892],[891],['.']
薫,2071,16,"[' aroma/fragrance/scent/smell,', ' pleasant smell/aroma/fragrance/scent pleasant-smelling vegetation]']","['かおり', 'り', 'くん']","['｜', '灬', '⺾', '日', 'ノ', '一']",['薫'],[7],['形声 Phonetic'],[1],[4878],[411],['.']
薬,2072,16,"[' medicine/pharmaceuticals/(legal) drugs/pill/ointment/salve efficacious chemical (gunpowder, pesticide, etc.) (pottery) glaze (illegal) drug/narcotic small bribe,', ' dope/narcotic/drug]']","['くすり', 'やく']","['日', '木', '冫', '⺾']",['薬'],[3],['形声 Phonetic'],[3],[64142],[58237],['S']
藉,2073,17,[],[],"['｜', '一', '二', '日', 'ハ', '木', '耒', '⺾']",,,,,,,
藍,2074,18,"["" dyer's knotweed (Persicaria tinctoria, used to produce indigo dye) indigo (dye) indigo (colour)]""]",['あい'],"['ノ', '皿', '臣', '二', '⺾']",['藍'],[7],['形声 Phonetic'],[1],[3898],[987],['S']
藜,2075,18,"["" white gooseweed (Chenopodium album)/fat hen/lamb's-quarters/pigweed]""]",['あかざ'],"['禾', '水', '𠆢', '勹', '⺾', '黍']",,,,,,,
藤,2076,18,"[' wisteria (esp. Japanese wisteria, Wisteria floribunda)/wistaria]']",['ふじ'],"['｜', '一', '月', '水', '⺾']",['藤'],[7],['形声 Phonetic'],[1],[254146],[5993],['S']
藩,2077,18,"[' feudal domain (Edo and early Meiji periods, precursor to current prefectures)/fiefdom/province]']",['はん'],"['氵', '田', '釆', '米', '⺾']",['藩'],[7],['形声 Phonetic'],[1],[2486],[2443],['S']
藪,2078,18,[' thicket/bush/grove/scrub (medical) quack]'],['やぶ'],"['｜', '一', '口', '女', '攵', '⺾']",,,,,,,
藹,2079,19,[],[],"['言', '日', '勹', '匕', '⺾']",,,,,,,
蘇,2080,19,[' condensed milk Soviet Union]'],['そ'],"['禾', '魚', '田', '灬', '⺾']",,,,,,,
蘊,2081,19,[],[],"['皿', '糸', '幺', '小', '日', '⺾']",,,,,,,
蘭,2082,19,"[' orchid Netherlands/Holland,', ' Japanese yew (Taxus cuspidata) wild rocambole (Allium grayi),', ' thoroughwort (species of boneset, Eupatorium fortunei)]']","['らん', 'あららぎ', 'らに']","['｜', '一', '日', '木', '門', '⺾']",,,,,,,
虎,2083,8,[' tiger (Panthera tigris) drunkard/drunk/sot]'],['とら'],"['卜', '儿', '匕', '厂', '虍']",['虎'],[7],['象形 Pictographic'],[1],[5877],[2832],['S']
虐,2084,9,[],[],"['卜', '匕', '匚', '厂', '虍']",['虐'],[7],['象形 Pictographic'],[1],[14877],[14877],['S']
虚,2085,11,"[' sky/the air/the heavens weather far-off place/distant place state of mind/feeling (from) memory/(by) heart falsehood/lie somehow/vaguely fake,', ' hollow/cavity/hole,', ' unpreparedness falsehood Chinese ""Emptiness"" constellation (one of the 28 mansions)]']","['そら', 'うろ', 'きょ']","['一', '卜', '匕', '厂', '虍']",['虚'],[7],['形声 Phonetic'],[1],[13524],[13127],['R']
虞,2086,13,[' fear/horror/anxiety/concern/uneasiness/reverence]'],"['おそれ', 'れ']","['口', 'ハ', '卜', '匕', '厂', '虍']",['虞'],[7],['形声 Phonetic'],[1],[79],[76],['.']
虫,2087,6,"["" insect/bug/cricket/moth worm/roundworm one's emotions/one's feelings nervousness/fretfulness person devoted to one thing/single-minded person valve core mushi (type of game played with a stripped deck)]""]",['むし'],['虫'],['虫'],[1],['会意 Com. Ideographic'],[2],[11017],[10424],['P']
虹,2088,9,[' rainbow]'],['にじ'],"['工', '虫']",['虹'],[7],['形声 Phonetic'],[1],[1946],[1893],['.']
虻,2089,9,[' horsefly/gadfly]'],['あぶ'],"['虫', '亡', '亠']",,,,,,,
蚊,2090,10,[' mosquito]'],['か'],"['虫', '文']",['蚊'],[7],['形声 Phonetic'],[1],[1204],[1200],['.']
