,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
君,349,7,"["" you/buddy/pal monarch/ruler/sovereign/(one's) master,"", ' Mr (junior)/master/boy,', "" suffix appended to somebody else's family members,"", ' you]']","['きみ', 'くん', 'ぎみ', 'きんじ']","['一', '口', 'ノ']",['君'],[3],['会意 Com. Ideographic'],[3],[26134],[23196],['P']
吟,350,7,[' recitation (of a poem)/chanting/singing composition (of a poem)/composed poem classical Chinese poetry form stress of sound in noh song]'],['ぎん'],"['口', '𠆢']",['吟'],[7],['形声 Phonetic'],[1],[1599],[1403],['S']
吠,351,7,[],[],"['犬', '口']",,,,,,,
否,352,7,"[' no/the noes,', "" no/nay well/er/why you're welcome/not at all/don't mention it]""]","['ひ', 'いいえ']","['ノ', '一', '口', '｜', '丶']",['否'],[6],['会意 Com. Ideographic'],[3],[68430],[68430],['P']
含,353,7,[],[],"['口', '𠆢']",['含'],[7],['会意 Com. Ideographic'],[2],[85032],[84861],['S']
吸,354,6,[],[],"['ノ', '口', '及']",['吸'],[6],['形声 Phonetic'],[3],[20591],[20591],['R']
吹,355,7,[],[],"['欠', '口']",['吹'],[7],['会意 Com. Ideographic'],[3],[19074],[13484],['S']
吽,356,7,[],[],"['｜', '牛', '口', '二']",,,,,,,
吾,357,7,[' I/me oneself you prefix indicating familiarity or contempt]'],['われ'],"['一', '口', '五']",,,,,,,
呂,358,7,"[' bass range (in Japanese music) six even-numbered notes of the ancient chromatic scale Japanese seven-tone gagaku scale similar to Mixolydian mode (corresp. to', ' re, mi, fa, so, la, ti, do)]']",['りょ'],['口'],['呂'],[7],['象形 Pictographic'],[1],[8251],[6044],['.']
呆,359,7,"["" (I'm) shocked]""]",['ほう'],"['口', '木']",,,,,,,
呈,360,7,[],[],"['王', '口']",['呈'],[7],['会意 Com. Ideographic'],[1],[6591],[6588],['P']
